abandon,abandoned
disgust,disgusted
dish,dished
dishearten,disheartened
dishevel,disheveled
dishonor,dishonored
disillusion,disillusioned
disincline,disinclined
disinfect,disinfected
disinherit,disinherited
disintegrate,disintegrated
disinter,disinterred
disjoint,disjointed
dislike,disliked
dislocate,dislocated
dislodge,dislodged
dismantle,dismantled
dismay,dismayed
dismember,dismembered
dismiss,dismissed
dismount,dismounted
disobey,disobeyed
disoblige,disobliged
disorder,disordered
disorganize,disorganized
disorient,disoriented
disorientate,disorientated
disown,disowned
disparage,disparaged
dispatch,dispatched
dispel,dispelled
dispense,dispensed
disperse,dispersed
dispirit,dispirited
displace,displaced
display,displayed
displease,displeased
disport,disported
dispose,disposed
dispossess,dispossessed
dispraise,dispraised
disprove,disproved
dispute,disputed
disqualify,disqualified
disquiet,disquieted
disregard,disregarded
disrespect,disrespected
disrobe,disrobed
disrupt,disrupted
diss,dissed
dissatisfy,dissatisfied
dissect,dissected
dissemble,dissembled
disseminate,disseminated
dissent,dissented
dissever,dissevered
dissimulate,dissimulated
dissipate,dissipated
dissociate,dissociated
dissolve,dissolved
dissuade,dissuaded
distance,distanced
distend,distended
distil,distilled
distill,distilled
distinguish,distinguished
distort,distorted
distract,distracted
distress,distressed
distribute,distributed
distrust,distrusted
disturb,disturbed
disunite,disunited
disuse,disused
ditch,ditched
dither,dithered
ditto,dittoed
dive,dived
diverge,diverged
diversify,diversified
divert,diverted
divest,divested
divide,divided
divine,divined
divorce,divorced
divulge,divulged
divvy,divvied
dizzy,dizzied
do,did
dock,docked
docket,docketed
doctor,doctored
document,documented
dodder,doddered
dodge,dodged
doff,doffed
dog,dogged
dogear,dogeared
doggone,doggoned
dogleg,doglegged
dogtrot,dogtrotted
dole,doled
doll,dolled
dollop,dolloped
dome,domed
domesticate,domesticated
domicile,domiciled
dominate,dominated
domineer,domineered
don,donned
donate,donated
doodle,doodled
doom,doomed
doorstep,doorstepped
dope,doped
dose,dosed
dot,dotted
dote,doted
double,doubled
doubt,doubted
douche,douched
douse,doused
dovetail,dovetailed
dowel,doweled
dower,dowered
down,downed
downgrade,downgraded
download,downloaded
downplay,downplayed
downscale,downscaled
downshift,downshifted
downsize,downsized
dowse,dowsed
doze,dozed
draft,drafted
drag,dragged
dragoon,dragooned
drain,drained
dramatize,dramatized
drape,draped
draught,draughted
draw,drew
drawl,drawled
dread,dreaded
dream,dreamed
dredge,dredged
drench,drenched
dress,dressed
dribble,dribbled
drift,drifted
drill,drilled
drink,drank
drip,dripped
drive,drove
drivel,driveled
drizzle,drizzled
drone,droned
drool,drooled
droop,drooped
drop,dropped
drown,drowned
drowse,drowsed
drub,drubbed
drudge,drudged
drug,drugged
drum,drummed
dry,dried
dub,dubbed
duck,ducked
dude,duded
duel,dueled
dull,dulled
dumbfound,dumbfounded
dumfound,dumfounded
dump,dumped
dun,dunned
dung,dunged
dunk,dunked
dupe,duped
duplicate,duplicated
dust,dusted
dwarf,dwarfed
dwell,dwelt
dwindle,dwindled
dye,dyed
dynamite,dynamited
earmark,earmarked
earn,earned
earth,earthed
ease,eased
eat,ate
eavesdrop,eavesdropped
ebb,ebbed
echo,echoed
eclipse,eclipsed
economize,economized
eddy,eddied
edge,edged
edify,edified
edit,edited
editorialize,editorialized
educate,educated
educe,educed
efface,effaced
effect,effected
effectuate,effectuated
effervesce,effervesced
effuse,effused
egg,egged
ejaculate,ejaculated
eject,ejected
eke,eked
elaborate,elaborated
elapse,elapsed
elasticize,elasticized
elate,elated
elbow,elbowed
elect,elected
electioneer,electioneered
electrify,electrified
electrocute,electrocuted
electroplate,electroplated
elevate,elevated
elicit,elicited
elide,elided
eliminate,eliminated
elongate,elongated
elope,eloped
elucidate,elucidated
elude,eluded
emaciate,emaciated
email,emailed
emanate,emanated
emancipate,emancipated
emasculate,emasculated
embalm,embalmed
embank,embanked
embargo,embargoed
embark,embarked
embarrass,embarrassed
embed,embedded
embellish,embellished
embezzle,embezzled
embitter,embittered
emblazon,emblazoned
embody,embodied
embolden,emboldened
emboss,embossed
embower,embowered
embrace,embraced
embroider,embroidered
embroil,embroiled
emcee,emceed
emend,emended
emerge,emerged
emigrate,emigrated
emit,emitted
emote,emoted
emotionalize,emotionalized
empanel,empaneled
empathize,empathized
emphasize,emphasized
employ,employed
empower,empowered
empty,emptied
emulate,emulated
emulsify,emulsified
enable,enabled
enact,enacted
enamel,enameled
enamor,enamored
enamour,enamoured
encamp,encamped
encapsulate,encapsulated
encase,encased
enchain,enchained
enchant,enchanted
encipher,enciphered
encircle,encircled
enclose,enclosed
encode,encoded
encompass,encompassed
encore,encored
encounter,encountered
encourage,encouraged
encroach,encroached
encrust,encrusted
encumber,encumbered
encyst,encysted
end,ended
endanger,endangered
endear,endeared
endeavor,endeavored
endeavour,endeavoured
endorse,endorsed
endow,endowed
endue,endued
endure,endured
energize,energized
enervate,enervated
enfeeble,enfeebled
enfilade,enfiladed
enfold,enfolded
enforce,enforced
enfranchise,enfranchised
engage,engaged
engender,engendered
engineer,engineered
engorge,engorged
engrave,engraved
engross,engrossed
engulf,engulfed
enhance,enhanced
enjoin,enjoined
enjoy,enjoyed
enlarge,enlarged
enlighten,enlightened
enlist,enlisted
enliven,enlivened
enmesh,enmeshed
ennoble,ennobled
enplane,enplaned
enquire,enquired
enrage,enraged
enrapture,enraptured
enrich,enriched
enrol,enrolled
enroll,enrolled
ensconce,ensconced
enshrine,enshrined
enshroud,enshrouded
enslave,enslaved
ensnare,ensnared
ensue,ensued
ensure,ensured
entail,entailed
entangle,entangled
enter,entered
entertain,entertained
enthral,enthralled
enthrall,enthralled
enthrone,enthroned
enthuse,enthused
entice,enticed
entitle,entitled
entomb,entombed
entrance,entranced
entrap,entrapped
entreat,entreated
entrench,entrenched
entrust,entrusted
entwine,entwined
enumerate,enumerated
enunciate,enunciated
enure,enured
envelop,enveloped
envenom,envenomed
envisage,envisaged
envision,envisioned
envy,envied
epitomize,epitomized
epoxy,epoxied
equal,equaled
equalize,equalized
equate,equated
equip,equipped
equivocate,equivocated
eradicate,eradicated
erase,erased
erect,erected
erode,eroded
err,erred
eruct,eructed
erupt,erupted
escalate,escalated
escallop,escalloped
escalop,escaloped
escape,escaped
eschew,eschewed
escort,escorted
espalier,espaliered
espouse,espoused
espy,espied
essay,essayed
establish,established
esteem,esteemed
estimate,estimated
estrange,estranged
etch,etched
euchre,euchred
eulogize,eulogized
euthanize,euthanized
evacuate,evacuated
evade,evaded
evaluate,evaluated
evangelize,evangelized
evaporate,evaporated
even,evened
eventuate,eventuated
evict,evicted
evidence,evidenced
evince,evinced
eviscerate,eviscerated
evoke,evoked
evolve,evolved
exacerbate,exacerbated
exact,exacted
exaggerate,exaggerated
exalt,exalted
examine,examined
example,exampled
exasperate,exasperated
excavate,excavated
exceed,exceeded
excel,excelled
except,excepted
excerpt,excerpted
exchange,exchanged
excise,excised
excite,excited
exclaim,exclaimed
exclude,excluded
excommunicate,excommunicated
excoriate,excoriated
excrete,excreted
exculpate,exculpated
excuse,excused
execrate,execrated
execute,executed
exemplify,exemplified
exempt,exempted
exercise,exercised
exert,exerted
exhale,exhaled
exhaust,exhausted
exhibit,exhibited
exhilarate,exhilarated
exhort,exhorted
exhume,exhumed
exile,exiled
exist,existed
exit,exited
exonerate,exonerated
exorcise,exorcised
exorcize,exorcized
expand,expanded
expatiate,expatiated
expatriate,expatriated
expect,expected
expectorate,expectorated
expedite,expedited
expel,expelled
expend,expended
experience,experienced
experiment,experimented
expiate,expiated
expire,expired
explain,explained
explicate,explicated
explode,exploded
exploit,exploited
explore,explored
export,exported
expose,exposed
expostulate,expostulated
expound,expounded
express,expressed
expropriate,expropriated
expunge,expunged
expurgate,expurgated
extemporize,extemporized
extend,extended
extenuate,extenuated
exterminate,exterminated
externalize,externalized
extinct,extincted
extinguish,extinguished
extirpate,extirpated
extol,extolled
extoll,extolled
extort,extorted
extract,extracted
extradite,extradited
extrapolate,extrapolated
extricate,extricated
extrude,extruded
exude,exuded
exult,exulted
eye,eyed
eyeball,eyeballed
fabricate,fabricated
face,faced
facet,faceted
facilitate,facilitated
facsimile,facsimiled
factor,factored
fade,faded
fag,fagged
fail,failed
faint,fainted
fake,faked
fall,fell
fallow,fallowed
falsify,falsified
falter,faltered
familiarize,familiarized
famish,famished
fan,fanned
fancy,fancied
fantasize,fantasized
fantasy,fantasied
fare,fared
farm,farmed
farrow,farrowed
fart,farted
fascinate,fascinated
fashion,fashioned
fast,fasted
fasten,fastened
fate,fated
father,fathered
fathom,fathomed
fatigue,fatigued
fatten,fattened
fault,faulted
favor,favored
favour,favoured
fawn,fawned
fax,faxed
faze,fazed
fear,feared
feast,feasted
feather,feathered
feature,featured
fecundate,fecundated
federalize,federalized
federate,federated
feed,fed
feel,felt
feign,feigned
feint,feinted
felicitate,felicitated
fell,felled
felt,felted
fence,fenced
fend,fended
ferment,fermented
ferret,ferreted
ferry,ferried
fertilize,fertilized
fess,fessed
fester,festered
festoon,festooned
fetch,fetched
fete,feted
fetter,fettered
feud,feuded
fib,fibbed
fibrillate,fibrillated
fictionalize,fictionalized
fiddle,fiddled
fidget,fidgeted
field,fielded
fight,fought
figure,figured
filch,filched
file,filed
filet,fileted
filibuster,filibustered
filigree,filigreed
fill,filled
fillet,filleted
fillip,filliped
film,filmed
filter,filtered
filtrate,filtrated
finagle,finagled
finalize,finalized
finance,financed
find,found
fine,fined
finesse,finessed
finger,fingered
fingerprint,fingerprinted
finish,finished
fink,finked
fire,fired
firebomb,firebombed
fireproof,fireproofed
firm,firmed
fish,fished
fishtail,fishtailed
fit,fitted
fix,fixed
fixate,fixated
fizz,fizzed
fizzle,fizzled
flabbergast,flabbergasted
flag,flagged
flagellate,flagellated
flail,flailed
flake,flaked
flambe,flambeed
flame,flamed
flameproof,flameproofed
flank,flanked
flannel,flanneled
flap,flapped
flare,flared
flash,flashed
flat,flatted
flatten,flattened
flatter,flattered
flaunt,flaunted
flavor,flavored
flavour,flavoured
flaw,flawed
flay,flayed
fleck,flecked
flee,fled
fleece,fleeced
fleet,fleeted
flesh,fleshed
flex,flexed
flick,flicked
flicker,flickered
flimflam,flimflammed
flinch,flinched
fling,flung
flip,flipped
flirt,flirted
flit,flitted
float,floated
flock,flocked
flog,flogged
flood,flooded
floodlight,floodlighted
floor,floored
flop,flopped
floss,flossed
flounce,flounced
flounder,floundered
flour,floured
flourish,flourished
flout,flouted
flow,flowed
flower,flowered
flub,flubbed
fluctuate,fluctuated
fluff,fluffed
flummox,flummoxed
flunk,flunked
fluoresce,fluoresced
fluoridate,fluoridated
flurry,flurried
flush,flushed
fluster,flustered
flute,fluted
flutter,fluttered
flux,fluxed
flyspeck,flyspecked
foal,foaled
foam,foamed
fob,fobbed
focus,focused
fog,fogged
foil,foiled
foist,foisted
fold,folded
follow,followed
foment,fomented
fondle,fondled
fool,fooled
foot,footed
footnote,footnoted
forage,foraged
foray,forayed
forbear,forbore
forbid,forbade
force,forced
ford,forded
forearm,forearmed
forebode,foreboded
forecast,forecast
foreclose,foreclosed
foredoom,foredoomed
foregather,foregathered
forego,forewent
foreground,foregrounded
foreknow,foreknew
foreordain,foreordained
foresee,foresaw
foreshadow,foreshadowed
foreshorten,foreshortened
forest,forested
forestall,forestalled
foreswear,foreswore
foretaste,foretasted
foretell,foretold
forewarn,forewarned
forfeit,forfeited
forgather,forgathered
forge,forged
forget,forgot
forgive,forgave
forgo,forwent
fork,forked
form,formed
formalize,formalized
format,formatted
formulate,formulated
fornicate,fornicated
forsake,forsook
forswear,forswore
fortify,fortified
forward,forwarded
fossilize,fossilized
foster,fostered
foul,fouled
found,founded
founder,foundered
fowl,fowled
fox,foxed
foxtrot,foxtrotted
+frack,fracked
fracture,fractured
fragment,fragmented
frame,framed
franchise,franchised
frank,franked
fraternize,fraternized
fray,frayed
frazzle,frazzled
freak,freaked
freckle,freckled
free,freed
freebase,freebased
freelance,freelanced
freeload,freeloaded
freewheel,freewheeled
freeze,froze
freight,freighted
frequent,frequented
freshen,freshened
fret,fretted
fricassee,fricasseed
+friend,friended
frig,frigged
fright,frighted
frighten,frightened
fringe,fringed
frisk,frisked
fritter,frittered
friz,frizzed
frizz,frizzed
frizzle,frizzled
frolic,frolicked
front,fronted
frost,frosted
frostbite,frostbit
froth,frothed
frown,frowned
fructify,fructified
fruit,fruited
frustrate,frustrated
fry,fried
fuck,fucked
fuddle,fuddled
fudge,fudged
fuel,fueled
fulfil,fulfilled
fulfill,fulfilled
full,fulled
fulminate,fulminated
fumble,fumbled
fume,fumed
fumigate,fumigated
function,functioned
fund,funded
funk,funked
funnel,funneled
fur,furred
furbish,furbished
furl,furled
furlough,furloughed
furnish,furnished
furrow,furrowed
further,furthered
fuse,fused
fuss,fussed
futz,futzed
fuze,fuzed
fuzz,fuzzed
gab,gabbed
gabble,gabbled
gad,gadded
gaff,gaffed
gag,gagged
gage,gaged
gain,gained
gainsay,gainsaid
gall,galled
gallivant,gallivanted
gallop,galloped
galumph,galumphed
galvanise,galvanised
galvanize,galvanized
gamble,gambled
gambol,gamboled
game,gamed
gang,ganged
gangrene,gangrened
gaol,gaoled
gape,gaped
garage,garaged
garb,garbed
garble,garbled
garden,gardened
gargle,gargled
garland,garlanded
garner,garnered
garnish,garnished
garnishee,garnisheed
garote,garoted
garotte,garotted
garrison,garrisoned
garrote,garroted
garrotte,garrotted
gas,gassed
gash,gashed
gasp,gasped
gate,gated
gatecrash,gatecrashed
gather,gathered
gauge,gauged
gawk,gawked
gaze,gazed
gazette,gazetted
gear,geared
gee,geed
gel,gelled
geld,gelded
generalize,generalized
generate,generated
gentle,gentled
gentrify,gentrified
genuflect,genuflected
+geocache,geocached
germinate,germinated
gerrymander,gerrymandered
gestate,gestated
gesticulate,gesticulated
gesture,gestured
get,got
geyser,geysered
ghettoize,ghettoized
ghost,ghosted
ghostwrite,ghostwrote
gibber,gibbered
gibbet,gibbeted
gibe,gibed
gift,gifted
gig,gigged
giggle,giggled
gild,gilded
gimlet,gimleted
gimp,gimped
gin,ginned
gird,girded
girdle,girdled
girt,girted
give,gave
glace,glaceed
glaciate,glaciated
gladden,gladdened
glamorize,glamorized
glamourize,glamourized
glance,glanced
glare,glared
glass,glassed
glaze,glazed
gleam,gleamed
glean,gleaned
glide,glided
glimmer,glimmered
glimpse,glimpsed
glint,glinted
glisten,glistened
glister,glistered
glitter,glittered
gloat,gloated
globalize,globalized
glorify,glorified
glory,gloried
gloss,glossed
glove,gloved
glow,glowed
glower,glowered
glue,glued
glut,glutted
gnarl,gnarled
gnash,gnashed
gnaw,gnawed
go,went
goad,goaded
gob,gobbed
gobble,gobbled
goggle,goggled
goldbrick,goldbricked
golf,golfed
gong,gonged
goof,goofed
+google,googled
goose,goosed
gore,gored
gorge,gorged
gormandize,gormandized
gossip,gossiped
gouge,gouged
govern,governed
gown,gowned
grab,grabbed
grace,graced
gradate,gradated
grade,graded
graduate,graduated
graft,grafted
grandfather,grandfathered
grandstand,grandstanded
grant,granted
granulate,granulated
graph,graphed
grapple,grappled
grasp,grasped
grass,grassed
grate,grated
gratify,gratified
grave,graved
gravel,graveled
gravitate,gravitated
gray,grayed
graze,grazed
grease,greased
green,greened
greet,greeted
grey,greyed
grieve,grieved
grill,grilled
grimace,grimaced
grime,grimed
grin,grinned
grind,ground
grip,gripped
gripe,griped
grit,gritted
groan,groaned
groom,groomed
groove,grooved
grope,groped
gross,grossed
grouch,grouched
ground,grounded
group,grouped
grouse,groused
grout,grouted
grovel,groveled
grow,grew
growl,growled
grub,grubbed
grudge,grudged
grumble,grumbled
grunt,grunted
guarantee,guaranteed
guaranty,guarantied
guard,guarded
guess,guessed
guesstimate,guesstimated
guest,guested
guffaw,guffawed
guide,guided
guillotine,guillotined
guilt,guilted
gull,gulled
gulp,gulped
gum,gummed
gumshoe,gumshoed
gun,gunned
gurgle,gurgled
gush,gushed
gusset,gusseted
gussy,gussied
gust,gusted
gut,gutted
gutter,guttered
guy,guyed
guzzle,guzzled
gyp,gypped
gyrate,gyrated
gyve,gyved
habituate,habituated
hack,hacked
hackney,hackneyed
haemorrhage,haemorrhaged
haggle,haggled
hail,hailed
hale,haled
hallmark,hallmarked
halloo,hallooed
hallow,hallowed
hallucinate,hallucinated
halo,haloed
halt,halted
halter,haltered
halve,halved
ham,hammed
hammer,hammered
hamper,hampered
hamstring,hamstrung
hand,handed
handcraft,handcrafted
handcuff,handcuffed
handicap,handicapped
handle,handled
handpick,handpicked
hang,hanged
hanker,hankered
happen,happened
harangue,harangued
harass,harassed
harbor,harbored
harbour,harboured
harden,hardened
hare,hared
hark,harked
harken,harkened
harm,harmed
harmonize,harmonized
harness,harnessed
harp,harped
harpoon,harpooned
harrow,harrowed
harry,harried
harvest,harvested
hash,hashed
hassle,hassled
haste,hasted
hasten,hastened
hat,hatted
hatch,hatched
hate,hated
haul,hauled
haunt,haunted
have,had
haw,hawed
hawk,hawked
hay,hayed
hazard,hazarded
haze,hazed
head,headed
headhunt,headhunted
headline,headlined
headquarter,headquartered
heal,healed
heap,heaped
hear,heard
hearken,hearkened
hearten,heartened
heat,heated
heatproof,heatproofed
heave,heaved
heckle,heckled
hector,hectored
hedge,hedged
hedgehop,hedgehopped
heed,heeded
heehaw,heehawed
heel,heeled
heft,hefted
heighten,heightened
heist,heisted
helicopter,helicoptered
help,helped
hem,hemmed
hemorrhage,hemorrhaged
hemstitch,hemstitched
henna,hennaed
henpeck,henpecked
herald,heralded
herd,herded
herniate,herniated
hesitate,hesitated
hew,hewed
hex,hexed
hibernate,hibernated
hiccough,hiccoughed
hiccup,hiccuped
hide,hid
hie,hied
highjack,highjacked
highlight,highlighted
hightail,hightailed
hijack,hijacked
hike,hiked
hinder,hindered
hinge,hinged
hint,hinted
hip,hipped
hire,hired
hiss,hissed
hit,hit
hitch,hitched
hitchhike,hitchhiked
hive,hived
hoard,hoarded
hoax,hoaxed
hobble,hobbled
hobnail,hobnailed
hobnob,hobnobbed
hock,hocked
hoe,hoed
hog,hogged
hogtie,hogtied
hoist,hoisted
hoke,hoked
hold,held
hole,holed
holiday,holidayed
holler,hollered
hollow,hollowed
holster,holstered
home,homed
homer,homered
homestead,homesteaded
homogenize,homogenized
hone,honed
honey,honeyed
honeycomb,honeycombed
honeymoon,honeymooned
honk,honked
honor,honored
honour,honoured
hood,hooded
hoodoo,hoodooed
hoodwink,hoodwinked
hoof,hoofed
hook,hooked
hoop,hooped
hooray,hoorayed
hoot,hooted
hop,hopped
hope,hoped
hopscotch,hopscotched
horde,horded
horrify,horrified
horse,horsed
horseshoe,horseshoed
horsewhip,horsewhipped
hose,hosed
hospitalize,hospitalized
host,hosted
hostel,hosteled
hostess,hostessed
hotdog,hotdogged
hotfoot,hotfooted
hound,hounded
house,housed
housebreak,housebroke
houseclean,housecleaned
hover,hovered
howl,howled
huckster,huckstered
huddle,huddled
huff,huffed
hug,hugged
hull,hulled
hum,hummed
humanize,humanized
humble,humbled
humbug,humbugged
humidify,humidified
humiliate,humiliated
humor,humored
humour,humoured
hump,humped
humph,humphed
hunch,hunched
hunger,hungered
hunker,hunkered
hunt,hunted
hurdle,hurdled
hurl,hurled
hurrah,hurrahed
hurray,hurrayed
hurry,hurried
hurt,hurt
hurtle,hurtled
husband,husbanded
hush,hushed
husk,husked
hustle,hustled
huzza,huzzaed
huzzah,huzzahed
hybridize,hybridized
hydrate,hydrated
hydrogenate,hydrogenated
hydrolyze,hydrolyzed
hydroplane,hydroplaned
hymn,hymned
hype,hyped
+hyperlink,hyperlinked
hypertrophy,hypertrophied
hyperventilate,hyperventilated
hyphen,hyphened
hyphenate,hyphenated
hypnotize,hypnotized
hypothesize,hypothesized
ice,iced
idealize,idealized
identify,identified
idle,idled
idolize,idolized
ignite,ignited
ignore,ignored
illuminate,illuminated
illumine,illumined
illustrate,illustrated
image,imaged
imagine,imagined
imbed,imbedded
imbibe,imbibed
imbue,imbued
imitate,imitated
immerse,immersed
immigrate,immigrated
immobilize,immobilized
immolate,immolated
immortalize,immortalized
immunize,immunized
immure,immured
impact,impacted
impair,impaired
impale,impaled
impanel,impaneled
impart,imparted
impeach,impeached
impede,impeded
impel,impelled
impend,impended
imperil,imperiled
impersonate,impersonated
impinge,impinged
implant,implanted
implement,implemented
implicate,implicated
implode,imploded
implore,implored
imply,implied
import,imported
importune,importuned
impose,imposed
impound,impounded
impoverish,impoverished
imprecate,imprecated
impregnate,impregnated
impress,impressed
imprint,imprinted
imprison,imprisoned
improve,improved
improvise,improvised
impugn,impugned
impulse,impulsed
impute,imputed
inactivate,inactivated
inaugurate,inaugurated
inbound,inbounded
inbreed,inbred
incapacitate,incapacitated
incarcerate,incarcerated
incarnadine,incarnadined
incarnate,incarnated
incense,incensed
inch,inched
incinerate,incinerated
incise,incised
incite,incited
incline,inclined
inclose,inclosed
include,included
incommode,incommoded
inconvenience,inconvenienced
incorporate,incorporated
increase,increased
incriminate,incriminated
incrust,incrusted
incubate,incubated
inculcate,inculcated
inculpate,inculpated
incumber,incumbered
incur,incurred
indemnify,indemnified
indent,indented
indenture,indentured
index,indexed
indicate,indicated
indict,indicted
indirect,indirected
indite,indited
individualize,individualized
individuate,individuated
indoctrinate,indoctrinated
indorse,indorsed
induce,induced
induct,inducted
indue,indued
indulge,indulged
industrialize,industrialized
indwell,indwelt
inebriate,inebriated
infatuate,infatuated
infect,infected
infer,inferred
infest,infested
infiltrate,infiltrated
inflame,inflamed
inflate,inflated
inflect,inflected
inflict,inflicted
influence,influenced
infold,infolded
inform,informed
infringe,infringed
infuriate,infuriated
infuse,infused
ingest,ingested
ingrain,ingrained
ingratiate,ingratiated
inhabit,inhabited
inhale,inhaled
inhere,inhered
inherit,inherited
inhibit,inhibited
initial,initialed
initialize,initialized
initiate,initiated
inject,injected
injure,injured
ink,inked
inlay,inlaid
innervate,innervated
innovate,innovated
inoculate,inoculated
input,inputted
inquire,inquired
inscribe,inscribed
inseminate,inseminated
insert,inserted
inset,inset
insinuate,insinuated
insist,insisted
inspect,inspected
inspire,inspired
inspirit,inspirited
instal,installed
install,installed
instance,instanced
instantiate,instantiated
instate,instated
instigate,instigated
instil,instilled
instill,instilled
institute,instituted
institutionalize,institutionalized
instruct,instructed
instrument,instrumented
insulate,insulated
insult,insulted
insure,insured
integrate,integrated
intellectualize,intellectualized
intend,intended
intensify,intensified
inter,interred
interact,interacted
interbreed,interbred
intercede,interceded
intercept,intercepted
interchange,interchanged
intercommunicate,intercommunicated
interconnect,interconnected
interdict,interdicted
interest,interested
interface,interfaced
interfere,interfered
interfile,interfiled
interject,interjected
interlace,interlaced
interlard,interlarded
interleave,interleaved
interline,interlined
interlink,interlinked
interlock,interlocked
interlope,interloped
intermarry,intermarried
intermingle,intermingled
intermix,intermixed
intern,interned
internalize,internalized
internationalise,internationalised
internationalize,internationalized
interpolate,interpolated
interpose,interposed
interpret,interpreted
interrelate,interrelated
interrogate,interrogated
interrupt,interrupted
intersect,intersected
intersperse,interspersed
intertwine,intertwined
intervene,intervened
interview,interviewed
interweave,interwove
intimate,intimated
intimidate,intimidated
intone,intoned
intoxicate,intoxicated
intrench,intrenched
intrigue,intrigued
introduce,introduced
introspect,introspected
intrude,intruded
intrust,intrusted
intuit,intuited
inundate,inundated
inure,inured
invade,invaded
invalid,invalided
invalidate,invalidated
inveigh,inveighed
inveigle,inveigled
invent,invented
inventory,inventoried
invert,inverted
invest,invested
investigate,investigated
invigorate,invigorated
invite,invited
invoice,invoiced
invoke,invoked
involve,involved
iodize,iodized
ionize,ionized
irk,irked
iron,ironed
irradiate,irradiated
irrigate,irrigated
irritate,irritated
irrupt,irrupted
isolate,isolated
issue,issued
italicize,italicized
itch,itched
itemize,itemized
iterate,iterated
jab,jabbed
jabber,jabbered
jack,jacked
jackknife,jackknifed
jade,jaded
jail,jailed
+jailbreak,jailbroke
jam,jammed
jangle,jangled
japan,japanned
jape,japed
jar,jarred
jaundice,jaundiced
jaunt,jaunted
jaw,jawed
jawbone,jawboned
jaywalk,jaywalked
jazz,jazzed
jeer,jeered
jell,jelled
jelly,jellied
jeopardize,jeopardized
jerk,jerked
jest,jested
jet,jetted
jettison,jettisoned
jew,jewed
jewel,jeweled
jib,jibbed
jibe,jibed
jig,jigged
jigger,jiggered
jiggle,jiggled
jigsaw,jigsawed
jilt,jilted
jimmy,jimmied
jingle,jingled
jinx,jinxed
jitterbug,jitterbugged
jive,jived
job,jobbed
jockey,jockeyed
jog,jogged
joggle,joggled
join,joined
joint,jointed
joke,joked
jolly,jollied
jolt,jolted
josh,joshed
jostle,jostled
jot,jotted
jounce,jounced
journey,journeyed
joust,jousted
joy,joyed
joyride,joyrode
judge,judged
jug,jugged
juggle,juggled
juice,juiced
julienne,julienned
jumble,jumbled
jump,jumped
junk,junked
junket,junketed
justify,justified
jut,jutted
juxtapose,juxtaposed
kayak,kayaked
kayo,kayoed
keel,keeled
keelhaul,keelhauled
keen,keened
keep,kept
ken,kenned
kennel,kenneled
key,keyed
keyboard,keyboarded
keynote,keynoted
keypunch,keypunched
kibble,kibbled
kibitz,kibitzed
kick,kicked
kid,kidded
kidnap,kidnapped
kill,killed
kiln,kilned
kindle,kindled
kink,kinked
kip,kipped
kipper,kippered
kiss,kissed
kite,kited
knead,kneaded
knee,kneed
kneecap,kneecapped
kneel,knelt
knell,knelled
knife,knifed
knight,knighted
knit,knitted
knock,knocked
knot,knotted
know,knew
knuckle,knuckled
knurl,knurled
kosher,koshered
kowtow,kowtowed
kvetch,kvetched
label,labeled
labor,labored
labour,laboured
lace,laced
lacerate,lacerated
lack,lacked
lacquer,lacquered
lactate,lactated
ladder,laddered
lade,laded
ladle,ladled
lag,lagged
lallygag,lallygagged
lam,lammed
lamb,lambed
lambast,lambasted
lambaste,lambasted
lame,lamed
lament,lamented
laminate,laminated
lampoon,lampooned
lance,lanced
land,landed
landscape,landscaped
landslide,landslid
languish,languished
lap,lapped
lapse,lapsed
lard,larded
lark,larked
lash,lashed
lasso,lassoed
last,lasted
latch,latched
lateral,lateraled
lath,lathed
lathe,lathed
lather,lathered
laud,lauded
laugh,laughed
launch,launched
launder,laundered
lave,laved
lavish,lavished
lay,laid
layer,layered
laze,lazed
lazy,lazied
leach,leached
lead,led
leaf,leafed
leaflet,leafleted
league,leagued
leak,leaked
lean,leaned
leap,leaped
leapfrog,leapfrogged
learn,learned
lease,leased
leash,leashed
leave,left
leaven,leavened
lecture,lectured
leech,leeched
leer,leered
leg,legged
legalize,legalized
legislate,legislated
legitimate,legitimated
legitimatize,legitimatized
legitimize,legitimized
lend,lent
lengthen,lengthened
lessen,lessened
let,let
letter,lettered
level,leveled
lever,levered
leverage,leveraged
levitate,levitated
levy,levied
liaise,liaised
libel,libeled
liberalize,liberalized
liberate,liberated
licence,licenced
license,licensed
lick,licked
lift,lifted
ligate,ligated
ligature,ligatured
light,lighted
lighten,lightened
lightning,lightninged
like,liked
liken,likened
lilt,lilted
limber,limbered
lime,limed
limit,limited
limn,limned
limp,limped
line,lined
linger,lingered
link,linked
lionize,lionized
lipread,lipread
liquefy,liquefied
liquidate,liquidated
liquidize,liquidized
liquify,liquified
liquor,liquored
lisp,lisped
list,listed
listen,listened
lithograph,lithographed
litigate,litigated
litter,littered
live,lived
liven,livened
load,loaded
loaf,loafed
loan,loaned
loathe,loathed
lob,lobbed
lobby,lobbied
lobotomize,lobotomized
localize,localized
locate,located
lock,locked
lodge,lodged
loft,lofted
log,logged
loiter,loitered
loll,lolled
lollygag,lollygagged
long,longed
look,looked
loom,loomed
loop,looped
loose,loosed
loosen,loosened
loot,looted
lop,lopped
lope,loped
lord,lorded
lose,lost
lounge,lounged
lour,loured
love,loved
low,lowed
lower,lowered
lube,lubed
lubricate,lubricated
luck,lucked
lucubrate,lucubrated
